county,population
Los Angeles,9848406
Cook,5185812
Harris,4758579
Maricopa,4491987
San Diego,3282782
Orange,3164063
Miami-Dade,2685296
Kings,2646306
Dallas,2603816
Riverside,2449909
Queens,2330124
Clark,2293764
King,2262713
San Bernardino,2187816
Tarrant,2135743
Bexar,2037344
Broward,1946127
Santa Clara,1903297
Wayne,1773767
Alameda,1651949
New York,1627788
Middlesex,1622896
Sacramento,1584047
Philadelphia,1582432
Suffolk,1525680
Palm Beach,1507453
Hillsborough,1489634
Orange,1440471
Bronx,1419250
Nassau,1388138
Franklin,1321635
Travis,1307625
Oakland,1272294
Hennepin,1268903
Cuyahoga,1249418
Allegheny,1240476
Salt Lake,1184689
Contra Costa,1161458
Wake,1151009
Fairfax,1144474
Mecklenburg,1130906
Collin,1116601
Fulton,1068507
Montgomery,1057586
Pima,1049947
Fresno,1012152
Duval,1007189
Honolulu,1003666
Westchester,996888
St. Louis,996618
Marion,971822
Capitol,969029
Gwinnett,966972
Pinellas,960565
Prince George's,955584
Bergen,954717
Erie,950044
Denton,945644
Milwaukee,927656
DuPage,927263
Pierce,924106
Shelby,922195
Kern,910433
Hidalgo,880921
Macomb,877624
El Paso,866275
Worcester,861664
Middlesex,861535
Montgomery,861225
Fort Bend,859721
Essex,854130
Baltimore,849586
Ventura,838259
San Francisco,836321
Snohomish,834648
Hamilton,827878
Essex,807258
Multnomah,803863
Oklahoma,800487
Lee,792692
San Joaquin,787416
Suffolk,782172
Jefferson,777392
Cobb,769152
DeKalb,762105
Polk,760961
Monroe,754068
San Mateo,745100
El Paso,736008
Norfolk,724540
Jackson,717021
Denver,713734
Lake,711885
Hudson,710478
Davidson,709846
Will,698450
Utah,683622
Bernalillo,674357
Tulsa,673708
District of Columbia,672079
Jefferson,669744
Providence,658977
Kent,658844
Arapahoe,655709
Montgomery,654722
Ocean,646434
Bucks,645993
Williamson,643889
Monmouth,643615
Western Connecticut,621232
Brevard,620533
Johnson,614764
Washington,600266
Anne Arundel,590936
Pasco,588758
Douglas,585461
Jefferson,579715
Bristol,578436
Baltimore,577193
Delaware,576195
New Castle,573030
Union,572549
Volusia,568229
South Central Connecticut,566803
Dane,564777
Lancaster,555151
Stanislaus,552250
Ramsey,544438
Spokane,544323
Guilford,542987
Chester,540896
Summit,538087
Greenville,537575
Montgomery,535528
Plymouth,531889
Sedgwick,524810
Adams,524408
Camden,524042
Passaic,518289
Kane,516097
Clark,510516
Morris,510375
Ada,508052
Lake,498990
Polk,497441
Richmond,492734
Washoe,491770
Knox,487401
Sonoma,485642
Prince William,484625
Tulare,475774
Seminole,474912
Onondaga,471611
Burlington,464226
Hampden,462853
York,459312
Virginia Beach,457066
East Baton Rouge,452821
Naugatuck Valley,452303
Solano,450824
Pinal,449219
Sarasota,449011
Santa Barbara,443975
Dakota,442204
Monterey,435834
Jefferson,432484
Berks,429989
Lucas,428748
Loudoun,427082
Hillsborough,424732
Cameron,423192
Clackamas,422308
Richland,418725
Manatee,416020
Charleston,414711
Mobile,413162
Placer,412435
St. Charles,409830
Waukesha,409040
Osceola,406943
Genesee,404087
Orange,403840
Pulaski,398949
Lake,398696
Madison,397135
Butler,389910
Allen,388791
Marion,387697
Collier,387681
Forsyth,386740
Mercer,383286
Lane,382628
Brazoria,381650
Bell,379811
Orleans,376035
Lehigh,375408
Stark,373764
Chesterfield,371610
Hamilton,370913
Horry,368937
Washtenaw,368394
Douglas,368283
Anoka,367095
Davis,366742
Larimer,363561
Hamilton,357176
Galveston,354721
Westmoreland,353345
Nueces,352829
Rutherford,351591
Marion,346532
St. Lucie,346237
Somerset,346203
Weld,340711
Rockland,338936
Spartanburg,338096
Cumberland,336749
Henrico,334434
Howard,333916
Durham,329405
Boulder,328317
Greater Bridgeport,326296
Luzerne,325978
Lancaster,323673
Escambia,323275
Fayette,321122
Rockingham,317163
Northampton,315927
Albany,315374
Lubbock,314633
Lorain,314588
McHenry,311366
Cumberland,305940
Gloucester,304504
Greene,301121
Lexington,300370
Clayton,298771
Ottawa,298614
Chatham,298143
Cleveland,297545
Dutchess,297144
Thurston,296640
Leon,295335
Benton,294541
St. Louis,293109
St. Johns,292243
Anchorage,289069
York,288559
Dauphin,287484
Merced,285597
Winnebago,283289
Ingham,282015
Alachua,281751
San Luis Obispo,281486
Frederick,280341
Southeastern Connecticut,279025
Kitsap,276581
Atlantic,274704
Cherokee,274539
St. Joseph,272574
Washington,272298
Buncombe,271790
Erie,269544
Brown,269425
St. Tammany,269331
Webb,267731
Weber,266183
Santa Cruz,266021
Madison,264631
Cumberland,264422
McLennan,263608
Harford,262509
Kalamazoo,261437
Forsyth,260062
Marin,258765
Yakima,256605
Hays,256429
Clay,255566
St. Clair,254777
Williamson,254609
Jefferson,253939
Washington,251863
Chesapeake,251153
Sussex,247799
Warren,246364
Henry,245417
Lafayette,245075
Union,244975
Canyon,242405
Yavapai,241656
Baldwin,239945
Berkeley,238723
Smith,238014
Brazos,237980
Saratoga,237075
Arlington,235463
Norfolk,235037
Tuscaloosa,234036
Caddo,232973
Lake,232101
Gaston,231485
Cabarrus,231262
New Hanover,231214
Barnstable,230073
Oneida,229645
Linn,229463
Whatcom,228432
Jefferson,228227
Montgomery,227957
Richmond,227595
Montgomery,227197
Mahoning,227063
Shelby,226955
Johnston,226623
Clay,223436
Jackson,222563
Hinds,222494
Doña Ana,221665
Delaware,221160
Yolo,217782
Mohave,217420
Lackawanna,215834
York,214731
Okaloosa,214281
Niagara,211341
Benton,210224
Clermont,209862
Washington,209778
Butte,209470
Harrison,209443
Calcasieu,208668
Onslow,208537
Hall,208395
Yuma,207685
Anderson,207218
Elkhart,206868
Champaign,206098
Richmond,206040
Muscogee,204383
Ellis,203927
Hawaii,203684
Deschutes,203026
Hernando,201512
Trumbull,201367
Minnehaha,200689
Sumner,200553
St. Louis,200056
Broome,197738
Racine,196888
Butler,195870
Sangamon,195217
Livingston,195143
Charlotte,195083
Sarpy,194051
Santa Rosa,193719
El Dorado,192299
Beaufort,192123
Iredell,191800
Outagamie,191537
Washington,189827
Cass,189286
Saginaw,189210
Johnson,188820
DeSoto,188598
Tippecanoe,187399
Boone,185874
Kent,185043
Newport News,184774
Medina,183049
Ulster,182109
Shasta,181554
Bay,181368
Licking,180311
Vanderburgh,179908
Peoria,179831
Hendricks,179379
Imperial,179319
Guadalupe,178368
Shawnee,178315
Kanawha,178198
Kootenai,177736
Lee,177663
Muskegon,175378
Lower Connecticut River Valley,174983
Comal,174552
Carroll,174318
Scott,174302
Paulding,174292
Alamance,174286
Porter,174150
Pitt,172279
Aiken,171949
Midland,171496
Winnebago,171357
Davidson,171063
McLean,170882
Kent,170658
Kenton,169817
Chittenden,168831
Pueblo,168726
Charles,168710
Greene,168531
Kenosha,168413
Monroe,167784
Yellowstone,167340
Wyandotte,167277
Beaver,166993
Houston,166902
Maui,164632
Dorchester,164322
Johnson,163983
Rock,163944
Indian River,163856
Olmsted,163425
Ector,163206
Canadian,162621
Catawba,162051
Portage,161421
Fairfield,161289
Kaufman,160718
Stafford,160520
Martin,160464
Rensselaer,160341
Jackson,160187
St. Clair,160089
Sullivan,159693
Columbia,159638
Schenectady,159603
Stearns,159358
Ouachita,158916
Madera,158790
Citrus,158693
Rankin,158218
Parker,158079
Centre,158041
Mesa,157316
Alexandria,156788
Franklin,156626
Hampshire,156595
Bibb,156543
Santa Fe,155175
Washington,155033
Merrimack,155018
Monroe,155001
Johnson,154881
Wilson,153587
Penobscot,153571
Berrien,153411
Scott,152957
Cumberland,152915
Kings,152830
Sandoval,151538
Coweta,150071
Rowan,148487
Orange,147292
Douglas,146141
Brunswick,145889
